Date,Open,High,Low,Close,Volume,Daily_Return,Change_Pct
2024-06-04,164.47,164.3,162.24,163.74,119228982,-0.024077613354980248,-0.44
2024-06-05,161.24,164.5,158.79,161.81,120424312,-0.011755030049068207,0.35
2024-06-06,164.46,166.03,163.77,164.91,58409695,0.019142103916006025,0.27
2024-06-07,159.49,162.14,160.35,160.36,85434463,-0.027573614004519378,0.55
2024-06-10,159.42,161.93,159.34,160.08,66722667,-0.0018013744037733218,0.41
2024-06-11,157.89,159.12,156.13,157.48,112900775,-0.01623509791719371,-0.26
2024-06-12,155.55,156.84,154.01,156.83,97063321,-0.004112387410611938,0.82
2024-06-13,148.01,151.14,147.32,148.21,115960061,-0.05497178210921449,0.14
2024-06-14,142.91,145.7,142.14,143.11,59861836,-0.03443066209019694,0.14
2024-06-17,141.23,141.83,138.56,141.25,103421954,-0.012997544691958345,0.01
2024-06-18,143.79,144.85,143.41,144.01,93964960,0.01954924863517165,0.15
2024-06-19,143.11,145.14,142.27,143.65,147331040,-0.002472713655804316,0.38
2024-06-20,143.59,146.4,142.15,143.8,89695657,0.0010569183179362203,0.15
2024-06-21,147.07,148.8,145.31,145.93,140236137,0.014764454222045698,-0.78
2024-06-24,144.78,144.24,141.82,143.5,73544908,-0.016590726860181038,-0.88
2024-06-25,144.47,146.09,142.96,144.46,131532869,0.00667254647614582,-0.01
2024-06-26,142.63,144.58,139.95,142.28,101022693,-0.015107330361312316,-0.25
2024-06-27,136.45,138.59,135.64,137.51,102431551,-0.033553389882412146,0.78
2024-06-28,136.07,138.56,136.15,136.57,144905541,-0.00681799587510202,0.37
2024-07-01,138.04,138.72,136.02,138.27,81073730,0.012476117248101156,0.17
2024-07-02,140.37,141.02,137.72,139.35,60862035,0.00777178101999603,-0.73
2024-07-03,138.76,141.87,139.42,139.45,104764945,0.0007633901104236048,0.5
2024-07-04,146.21,149.14,144.03,146.26,136827923,0.04884730531875452,0.03
2024-07-05,149.05,147.85,147.37,147.62,74277661,0.009258243206175576,-0.96
2024-07-08,150.71,151.95,150.41,150.66,59899209,0.020574720118746934,-0.03
2024-07-09,157.91,158.19,154.69,157.55,140782899,0.045762866769959054,-0.23
2024-07-10,152.46,155.01,151.98,153.63,61754882,-0.024881706463224976,0.77
2024-07-11,151.58,152.24,149.09,150.59,120405169,-0.01977576420409907,-0.65
2024-07-12,156.32,156.29,153.85,155.99,85222905,0.035874244502458616,-0.21
2024-07-15,153.8,154.57,150.73,153.66,60455549,-0.01496125470482125,-0.09
2024-07-16,153.42,156.76,151.57,153.91,127020680,0.0015936646060666043,0.32
2024-07-17,156.73,159.14,154.5,157.35,83232368,0.022386319388486974,0.4
2024-07-18,160.05,161.78,157.87,160.31,66521618,0.018814127825863416,0.16
2024-07-19,166.7,168.6,165.46,166.1,145873443,0.036097723639622194,-0.36
2024-07-22,172.52,173.77,170.87,171.23,130465831,0.030912882740669386,-0.75
2024-07-23,175.1,175.24,171.72,175.07,78984218,0.022387853394114737,-0.02
2024-07-24,173.12,174.98,170.13,172.54,74539881,-0.01445417428494383,-0.34
2024-07-25,175.75,178.4,175.38,175.45,50534875,0.016897253355864363,-0.17
2024-07-26,177.17,177.32,175.1,176.73,135153394,0.007285439890137341,-0.25
2024-07-29,172.82,174.91,170.93,172.22,97901767,-0.025525309198809118,-0.35
2024-07-30,178.49,178.29,173.75,177.27,87408873,0.029345980929537052,-0.68
2024-07-31,178.81,181.42,178.45,180.31,74065607,0.017144730691571332,0.84
2024-08-01,181.61,183.06,180.61,180.66,64093905,0.0019098016126219432,-0.52
2024-08-02,179.07,180.4,177.75,179.99,78833658,-0.00366184121968827,0.51
2024-08-05,174.79,178.2,172.68,175.86,91432557,-0.02296602289401574,0.61
2024-08-06,176.99,179.88,174.84,176.74,50719500,0.004990481471172652,-0.14
2024-08-07,177.13,181.06,178.44,178.57,70194074,0.010368782388912885,0.81
2024-08-08,177.14,177.33,173.47,175.78,122994683,-0.015623099684865582,-0.77
2024-08-09,180.5,181.62,179.32,180.04,114503357,0.024244080981990587,-0.25
2024-08-12,177.06,178.97,175.56,176.27,103158183,-0.020944060929660686,-0.45
2024-08-13,167.33,170.87,166.29,168.96,123338676,-0.04146200700084884,0.97
2024-08-14,172.97,172.94,170.72,172.65,116953935,0.02179454181785401,-0.19
2024-08-15,171.62,173.42,170.45,171.43,64151975,-0.007067320762042151,-0.11
2024-08-16,170.0,173.95,169.15,171.16,147603848,-0.0015205917062603028,0.68
2024-08-19,167.3,169.6,165.74,168.47,53885054,-0.015750334456501064,0.7
2024-08-20,163.86,166.25,163.12,163.23,96181072,-0.03111925521434805,-0.38
2024-08-21,166.88,170.0,166.32,167.49,110982530,0.02610474749448437,0.37
2024-08-22,165.98,167.25,164.9,165.35,52411267,-0.01277737967693843,-0.38
2024-08-23,171.19,173.58,167.67,171.01,74988967,0.034219049762958795,-0.11
2024-08-26,173.55,174.21,171.39,173.94,65170739,0.017146163724214573,0.22
2024-08-27,174.49,175.99,171.29,173.02,128196535,-0.005295162934349199,-0.84
2024-08-28,170.59,172.22,166.27,169.43,102136768,-0.02071804802253733,-0.68
2024-08-29,166.64,170.16,167.1,167.12,110085453,-0.013649239734409142,0.29
2024-08-30,161.74,163.65,160.74,163.23,141074759,-0.023250462621903393,0.92
